# time  created  delivered  delivered/created
33.0000 1 0 0.0000
62.0000 2 0 0.0000
93.0000 3 0 0.0000
119.0000 4 0 0.0000
147.0000 5 0 0.0000
173.0000 6 0 0.0000
200.0000 7 0 0.0000
226.0000 8 0 0.0000
251.0000 9 0 0.0000
281.0000 10 0 0.0000
309.0000 11 0 0.0000
337.0000 12 0 0.0000
364.0000 13 0 0.0000
394.0000 14 0 0.0000
420.0000 15 0 0.0000
446.0000 16 0 0.0000
474.0000 17 0 0.0000
499.0000 18 0 0.0000
527.0000 19 0 0.0000
557.0000 20 0 0.0000
583.0000 21 0 0.0000
611.0000 22 0 0.0000
640.0000 23 0 0.0000
673.0000 24 0 0.0000
704.0000 25 0 0.0000
729.0000 26 0 0.0000
756.0000 27 0 0.0000
782.0000 28 0 0.0000
809.0000 29 0 0.0000
837.0000 30 0 0.0000
864.0000 31 0 0.0000
892.0000 32 0 0.0000
917.0000 33 0 0.0000
943.0000 34 0 0.0000
969.0000 35 0 0.0000
999.0000 36 0 0.0000
1024.0000 37 0 0.0000
1055.0000 38 0 0.0000
1080.0000 39 0 0.0000
1099.8000 39 1 0.0256
1105.0000 40 1 0.0250
1133.0000 41 1 0.0244
1161.0000 42 1 0.0238
1195.0000 43 1 0.0233
1222.0000 44 1 0.0227
1249.0000 45 1 0.0222
1283.0000 46 1 0.0217
1316.0000 47 1 0.0213
1350.0000 48 1 0.0208
1377.0000 49 1 0.0204
1410.0000 50 1 0.0200
1413.0000 50 2 0.0400
1440.0000 51 2 0.0392
1457.7000 51 3 0.0588
1474.0000 52 3 0.0577
1501.0000 53 3 0.0566
1534.0000 54 3 0.0556
1560.0000 55 3 0.0545
1591.0000 56 3 0.0536
1620.0000 57 3 0.0526
1646.0000 58 3 0.0517
1678.0000 59 3 0.0508
1703.9000 59 4 0.0678
1712.0000 60 4 0.0667
1738.0000 61 4 0.0656
1760.6000 61 5 0.0820
1769.0000 62 5 0.0806
1800.0000 63 5 0.0794
1805.6000 63 6 0.0952
1826.0000 64 6 0.0938
1852.0000 65 6 0.0923
1883.0000 66 6 0.0909
1908.0000 67 6 0.0896
1939.0000 68 6 0.0882
1966.0000 69 6 0.0870
1997.0000 70 6 0.0857
2027.0000 71 6 0.0845
2059.0000 72 6 0.0833
2088.0000 73 6 0.0822
2118.0000 74 6 0.0811
2146.0000 75 6 0.0800
2171.0000 76 6 0.0789
2204.0000 77 6 0.0779
2230.0000 78 6 0.0769
2247.1000 78 7 0.0897
2257.0000 79 7 0.0886
2287.0000 80 7 0.0875
2306.9000 80 8 0.1000
2316.0000 81 8 0.0988
2316.3000 81 9 0.1111
2346.0000 82 9 0.1098
2368.1000 82 10 0.1220
2371.0000 83 10 0.1205
2405.0000 84 10 0.1190
2431.0000 85 10 0.1176
2459.0000 86 10 0.1163
2487.4000 86 11 0.1279
2490.0000 87 11 0.1264
2494.3000 87 12 0.1379
2522.0000 88 12 0.1364
2553.0000 89 12 0.1348
2565.6000 89 13 0.1461
2582.0000 90 13 0.1444
